$Date$

Name          = Plugin name (code/directory name)

Version       = Version of the plugin to which .pot file in SVN corresponds
                (not necessarily the newest version of the plugin)

Dir           = Place that stores translations
                  0 = squirrelmail.po
                  1 = plugins/plugin-name/locale (plugin contains
                      its own translations)
                  2 = locale (SquirrelMail locale directory contains
                      plugin translation files) (best)
                  3 = extras (only in SVN repository; not provided
                      with translation packages)
                  - = no translation is stored (plugin translation
                      implementation is probably broken or has other problem)

i18n comments = Internationalization related comments; should always start
                with either Y (plugin translation is in SVN) or N (plugin
                translation is not in SVN)

Plugins with dir = 0 (also 3? also -?) or comments starting with "Y-BAD"(?)
or "N" may not be appropriate for distribution in locales packages.

Plugins ordered same as found on http://www.squirrelmail.org/plugin_list.php

This *entire* list was last reviewed in detail in December 2011 (Paul Lesniewski).
It should be reasonably up to date, especially if we make a point of updating it
when new plugin releases are made and new translations are committed to SVN.

TODO: Should we number each line for ease of use? (Currently (December 2011), this
      file has a total of 227 plugins)

Name                        Version    Dir  i18n comments
expire                      1.3.1       2   Y (Status unclear; No longer listed on website)
extract                     0.1         1   Y-BAD (incorrectly uses sm domain; tarball missing .pot file and locales directory)
file_manager                2.0         1   Y
filters                     1.0         0   N (OBSOLETE) (part of core)
filters                     0.853       -   N (Server Side Filters) (OBSOLETE)
focus_change                1.0         -   N (OBSOLETE)
folder_synch                1.0         2   Y
folder_settings             0.3         2   Y
folder_sizes                1.5         2   Y
forced_prefs                1.4.sm      -   N (no translatable strings)
forum                       1.1         2   Y
get_uuencode                3.2         -   N-BAD (uses one string in sm domain; has no other strings)
global_sql_addressbook      0.5         -   N (patch) (OBSOLETE)
got_hotmail                 0.6.2       3   Y-BAD (incorrectly uses sm domain; tarball missing .pot file)
gpg                         2.1         1   Y
gzip                        2.02        1   Y (rtl issues)
hancock                     1.4         -   N (untranslated; rtl issues) (OBSOLETE)
html_mail                   2.3         2   Y
image_buttons               1.4         1   Y (gd font issues)
ip_restrict                 0.1         3   Y-BAD (incorrectly uses sm domain)
ip_users                    1.1         -   N (OBSOLETE)
japanese_input              1.1         2   Y
jsclock                     0.7         -   N (untranslated; rtl issues)
jump_to_folder              0.3         -   N (untranslated; rtl issues)
junkfolder                  1.0         1   Y
ldap_abook                  1.02        1   Y (See ftp://datanom.net/pub/squirrelmail/ - Direct link: ftp://datanom.net/pub/squirrelmail/ldap_abook-1.02-1.4.tar.gz - Author: Michael Rasmussen <mir at datanom.net>)
ldapquery                   2.1         2   Y
ldapuserdata                0.4         -   N (untranslated)
ldifimport                  1.4         -   N (but Czech translation exists (dir=3) (WHY?); only option page translated; incorrectly uses sm domain)
left_css                    0.2         3   Y-BAD (incorrectly uses sm domain; rtl issues; tarball missing .pot file)
legend                      1.2         -   N (part translated; incorrectly uses sm domain)
limit_languages             1.0         2   Y (tarball missing .pot file)
listcommands                1.3         0   N (OBSOLETE) (part of core)
local_autorespond_forward   3.0.1       2   Y
lockout                     1.7         2   Y
login_check                 1.0         2   Y
login_alias                 2.5         2   Y
login_auth                  2.1         2   Y
login_auto                  1.1         -   N (part translated; incorrectly uses sm domain)
login_image                 1.0         -   N (no translatable strings (does use one string from SM locale))
login_notes                 1.2         -   N (no translatable strings/strings are in config)
login_redirect              1.2         -   N (no translatable strings)
mailboxusage                1.0         -   N (OBSOLETE)
mail_alias                  2.0.0       1   Y (tarball missing .pot file)
mail_fetch                  1.3         0   N (OBSOLETE) (part of core)
mail_fetchmail              0.4         -   N (untranslated)
mail_fwd                    0.4.1       -   N (part translated: sm domain) (OBSOLETE)
mail_utilities              0.4         -   N (part translated; incorrectly uses sm domain)
mark_read                   2.0.1       2   Y (rtl issues?)
message_source              1.3         0   N (OBSOLETE) (part of core)
meteosat                    0.9         -   N (template based translation (strings mixed with functions))
mini                        0.3         2   Y (see sm-plugins project)
motd                        1.2         0   N (OBSOLETE) (part of core)
move_all_messages           1.0         2   Y
msg_flags                   1.4.20      2   Y (strings are in patch; correct domain is used)
multilogin                  2.4.2       2   Y
naguser                     1.2         2   Y
newmail                     3.0         0   N (OBSOLETE) (part of core)
newuser_wiz                 1.3.2       2   Y (rtl issues) (OBSOLETE)
nntp                        0.0.5       -   N (variable based translation)
notes                       1.2         1   Y
notify                      1.3         -   N (untranslated)
otp                         1.0         2   Y
online_users                1.2.1       1   Y
ottawagasprices             1.0.1       -   N (untranslated)
paginator                   0.1.3       0   N (OBSOLETE) (part of core)
password_forget             2.3         -   N (no translatable strings)
picons                      1.0         -   N (untranslated)
preview_pane                1.2         1   Y
printer_friendly            0.3.2       0   N (OBSOLETE) (part of core)
procfilter                  2.0         -   N (untranslated) (OBSOLETE)
proon                       8.0.0       2   Y
pupdate                     0.7         -   N (part translated; incorrectly uses sm domain; cr issues)
qmailadmin_login            1.1         2   Y
qotd_login                  1.0         -   N (no translatable strings)
quicksave                   2.4.5       2   Y
quota_usage                 1.3.1       1   Y (OBSOLETE)
redhat_php_cgi_fix          1.0         0   N (OBSOLETE) (part of core)
reply_buttons               1.0         2   Y (purposefully uses two strings in sm domain)
reset_prefs                 1.2         2   Y
restrict_senders            1.5.1       2   Y
retrieveuserdata            0.9         -   N (untranslated; only error messages)
rewrap                      1.3         1   Y (OBSOLETE)
rootly_news                 1.0         2   Y
saconf                      1.0         -   N (part translated; incorrectly uses sm domain)
same_ip                     1.1         2   Y
sasql                       3.2.0       2   Y
secure_login                1.4         -   N (no translatable strings)
select_language             1.1         2   Y
select_range                3.7.1       2   Y
send_to_semicolon           1.0         0   N (OBSOLETE) (part of core)
sent_confirmation           1.6         1   Y
server_settings             2.0         2   Y
server_settings_backend     2.0         2   Y
serversidefilter            1.42        2   Y (needs to be updated to latest release at project web site)
sharedtodolists             1.4         -   N (part translated; incorrectly uses sm domain)
shared_calendars            2.0.1       2   Y (uses calendar domain)
show_headers                1.3         3   Y-BAD (incorrectly uses sm domain; rtl issues; tarball missing .pot file)
show_ssl_link               2.2         2   Y
show_thumb                  1.05        -   N (no translatable strings)
show_user_and_ip            3.3         1   Y-BAD (incorrectly uses sm domain for some strings, but those strings are in fact in our (SVN) copy of the .pot file)
sigtag                      1.0         -   N (rtl issues; incorrectly uses sm domain; tarball missing .pot file)
smallcal                    0.8         2   Y (only works if apply v0.9 patch included in our patches dir; v0.8 incorrectly uses sm domain; other issues)
smime                       1.0         2   Y
smrestradmin                0.11        -   N (untranslated)
smrestrict                  0.10        -   N (untranslated)
spamassassin                1.66        -   N (OBSOLETE)
spamassassin_filter-v2      2.02        -   N (untranslated)
spamcop                     1.3         0   N (OBSOLETE) (part of core)
spamrule                    0.5         1   Y-BAD (does not bind text domain; tarball missing .pot file and locale directory; strings MAY NOT BE UP TO DATE (big mess); strings in configuration file)
spam_buttons                2.3.1       2   Y
sqclock                     0.2         0   N (OBSOLETE) (part of core)
sql_squirrel_logger         1.1.0       -   N (untranslated) (OBSOLETE)
squirrel_logger             2.3.1       -   N (no translatable strings)
startup_folder              2.1         2   Y
swekey                      1.0.7       2   Y-BAD (some strings aren't displayed in correct text domain)
taglines                    0.4         1   Y
templates                   1.2         2   Y
timeout_user                1.1.1       3   Y-BAD (incorrectly uses sm domain; tarball missing .pot file)
tmda                        0.2         3   Y-BAD (incorrectly uses sm domain) (OBSOLETE)
tmdatools                   1.0.2       3   Y-BAD (incorrectly uses sm domain; tarball missing .pot file)
tnef_decoder                1.0         2   Y
todo                        0.5         -   N (part translated; incorrectly uses sm domain)
translate                   1.3         0   N (OBSOLETE) (part of core)
trueaday                    1.1         -   N (no translatable strings)
twc_weather                 1.3p3b-rc2  1   Y
undelete                    2.0         2   Y
unframe                     1.0         -   N (no translatable strings)
unsafe_image_rules          0.8         2   Y
user_info                   1.0         -   N (no translatable strings)
useracl                     2.1         1   Y
username                    2.3         3   Y-BAD (incorrectly uses sm domain; possible rtl issues; part untranslated(?))
user_logo                   1.1         -   N (no translatable strings)
user_special_mailboxes      0.1         3   Y-BAD (incorrectly uses sm domain; tarball missing .pot file)
vacation                    1.41        3   Y (incorrectly uses sm domain) (OBSOLETE)
vacation     (qmail ldap)   0.3         1   Y
vacation_local              2.0         2   Y (OBSOLETE)
vadmin                      3.0         2   Y
variable_sent_folder        0.4         -   N (untranslated)
verify_reply_to             1.0         2   Y
view_as_html                3.8         2   Y (tarball missing .pot file)
virtual_hosts               1.0         -   N (untranslated)
virtusertable               0.3         -   N (no translatable strings)
virus_scan                  0.5         1   Y (OBSOLETE)
vkeyboard                   0.9.1       1   Y
vlogin                      3.10.2      -   N (no translatable strings)
vpopmail                    1.00        1   Y
weather                     4.1.1       -   N (incorrectly uses sm domain; part translated(?))
weather_uk                  0.4         -   N (part translated; incorrectly uses sm domain)
web_search                  0.1.6       2   Y (tarball missing .pot file)
wetteronline                0.1         -   N (untranslated; strings in German)
windows                     1.6         3   Y-BAD (incorrectly uses sm domain; tarball missing .pot file)
wx200                       1.0         -   N (part translated; font issues)
xmailer                     0.2         0   N (OBSOLETE) (part of core)
yelp                        1.0         2   Y-BAD (WHY WAS THIS ADDED?; 100% UNTRANSLATED; rtl issues)
yubikey                     0.8.1       2   Y
